ProductID,ProductName,CategoryID,UnitPrice,StockQuantity,SupplierID
PROD001,"Amul Taaza Toned Milk 500ml",CAT003,27.00,500,SUP004
PROD002,"Britannia Milk Bread",CAT005,45.00,300,SUP005
PROD003,"Nestle Maggi 2-Minute Noodles",CAT019,14.00,1200,SUP006
PROD004,"Tata Salt Iodized 1kg",CAT012,28.00,800,SUP015
PROD005,"Ashirvaad Select Sharbati Atta 5kg",CAT009,290.00,250,SUP023
PROD006,"Coca-Cola 750ml PET Bottle",CAT007,40.00,600,SUP008
PROD007,"Lays India's Magic Masala 52g",CAT006,20.00,1500,SUP034
PROD008,"Parle-G Gold Biscuits 1kg",CAT025,110.00,700,SUP007
PROD009,"Surf Excel Easy Wash 1kg",CAT016,135.00,400,SUP043
PROD010,"Colgate MaxFresh Toothpaste 150g",CAT015,95.00,550,SUP027
PROD011,"Fresh Onion 1kg",CAT002,45.00,800,SUP049
PROD012,"Fresh Tomato 1kg",CAT002,35.00,900,SUP049
PROD013,"Fresh Potato 1kg",CAT002,30.00,1000,SUP049
PROD014,"Fresh Banana Robusta 1kg",CAT001,50.00,600,SUP050
PROD015,"Fresh Apple Royal Gala 1kg",CAT001,180.00,400,SUP050
PROD016,"Amul Butter 500g",CAT004,275.00,350,SUP004
PROD017,"Amul Cheese Slices 100g",CAT004,78.00,600,SUP004
PROD018,"Mother Dairy Classic Curd 400g",CAT003,40.00,450,SUP031
PROD019,"iD Malabar Parota 350g",CAT020,85.00,300,SUP032
PROD020,"Fortune Sunlite Refined Sunflower Oil 1L",CAT012,155.00,500,SUP041
PROD021,"India Gate Basmati Rice Classic 1kg",CAT010,220.00,300,SUP024
PROD022,"Tata Sampann Toor Dal 1kg",CAT011,160.00,400,SUP015
PROD023,"Bru Instant Coffee 100g",CAT008,210.00,250,SUP001
PROD024,"Taj Mahal Tea 250g",CAT008,165.00,350,SUP001
PROD025,"Haldirams Aloo Bhujia 200g",CAT006,55.00,800,SUP019
PROD026,"Kurkure Masala Munch 90g",CAT006,20.00,1300,SUP035
PROD027,"Sprite 750ml PET Bottle",CAT007,40.00,580,SUP008
PROD028,"Tropicana 100% Orange Juice 1L",CAT007,140.00,300,SUP038
PROD029,"Cadbury Dairy Milk Silk 150g",CAT025,175.00,400,SUP026
PROD030,"Oreo Chocolate Creme Biscuits 120g",CAT025,30.00,900,SUP026
PROD031,"Lifebuoy Total 10 Soap 125g",CAT013,36.00,700,SUP001
PROD032,"Dove Daily Shine Shampoo 180ml",CAT014,190.00,450,SUP001
PROD033,"Pepsodent Germicheck Toothpaste 150g",CAT015,70.00,600,SUP001
PROD034,"Vim Dishwash Liquid Gel 500ml",CAT017,105.00,500,SUP044
PROD035,"Lizol Floor Cleaner Citrus 975ml",CAT018,193.00,350,SUP045
PROD036,"Harpic Powerplus Toilet Cleaner 1L",CAT018,185.00,400,SUP046
PROD037,"Good Knight Gold Flash Machine + Refill",CAT018,85.00,500,SUP014
PROD038,"McCain Smiles 415g",CAT020,115.00,300,SUP018
PROD039,"Kissan Fresh Tomato Ketchup 950g",CAT012,120.00,450,SUP037
PROD040,"MDH Deggi Mirch 100g",CAT023,72.00,600,SUP021
PROD041,"Everest Turmeric Powder 200g",CAT023,60.00,700,SUP022
PROD042,"Kelloggs Corn Flakes 875g",CAT024,360.00,200,SUP025
PROD043,"Quaker Oats 1kg",CAT024,199.00,300,SUP009
PROD044,"Pampers Active Baby Diapers M-size 46",CAT021,699.00,150,SUP047
PROD045,"Pedigree Adult Dog Food Chicken & Veg 3kg",CAT022,740.00,100,SUP048
PROD046,"Fresh Coriander Bunch",CAT002,15.00,500,SUP049
PROD047,"Fresh Mint Bunch",CAT002,12.00,500,SUP049
PROD048,"Fresh Ginger 100g",CAT002,25.00,600,SUP049
PROD049,"Fresh Garlic 100g",CAT002,30.00,600,SUP049
PROD050,"Fresh Lemon 4pcs",CAT001,20.00,700,SUP050
PROD051,"Amul Masti Dahi 400g",CAT003,38.00,480,SUP004
PROD052,"Britannia Brown Bread",CAT005,50.00,280,SUP005
PROD053,"Top Ramen Masala Noodles",CAT019,12.00,1100,SUP006
PROD054,"Tata Tea Gold 500g",CAT008,310.00,320,SUP015
PROD055,"Pillsbury Chakki Fresh Atta 5kg",CAT009,280.00,260,SUP001
PROD056,"Fanta 750ml PET Bottle",CAT007,40.00,590,SUP008
PROD057,"Bingo Mad Angles Achaari Masti",CAT006,20.00,1400,SUP003
PROD058,"Sunfeast Dark Fantasy Choco Fills",CAT025,35.00,850,SUP033
PROD059,"Ariel Matic Top Load 1kg",CAT016,250.00,380,SUP002
PROD060,"Listerine Cool Mint Mouthwash 250ml",CAT015,149.00,530,SUP028
PROD061,"Fresh Capsicum 500g",CAT002,60.00,750,SUP049
PROD062,"Fresh Cauliflower 1pc",CAT002,40.00,850,SUP049
PROD063,"Fresh Cabbage 1pc",CAT002,35.00,950,SUP049
PROD064,"Fresh Pomegranate 1kg",CAT001,220.00,550,SUP050
PROD065,"Fresh Watermelon 1pc",CAT001,90.00,350,SUP050
PROD066,"Go Cheese Slices 100g",CAT004,75.00,580,SUP004
PROD067,"Nestle a+ Curd 400g",CAT003,42.00,430,SUP006
PROD068,"Saffola Gold Refined Oil 1L",CAT012,170.00,480,SUP040
PROD069,"Daawat Basmati Rice Rozana Gold 1kg",CAT010,150.00,280,SUP024
PROD070,"Tata Sampann Chana Dal 1kg",CAT011,150.00,380,SUP015
PROD071,"Nescafe Classic Coffee 100g",CAT008,315.00,230,SUP006
PROD072,"Red Label Tea 500g",CAT008,270.00,330,SUP001
PROD073,"Balaji Wafers Simply Salted",CAT006,20.00,1200,SUP020
PROD074,"Thums Up 750ml PET Bottle",CAT007,40.00,610,SUP008
PROD075,"Real Mixed Fruit Juice 1L",CAT007,135.00,290,SUP039
PROD076,"Cadbury 5 Star 3D",CAT025,30.00,880,SUP026
PROD077,"Good Day Cashew Cookies",CAT025,40.00,880,SUP005
PROD078,"Pears Pure & Gentle Soap 125g",CAT013,70.00,680,SUP001
PROD079,"Head & Shoulders Anti-Dandruff Shampoo",CAT014,195.00,430,SUP002
PROD080,"Close Up Everfresh Toothpaste 150g",CAT015,85.00,580,SUP001
PROD081,"Pril Dishwash Bar",CAT017,25.00,680,SUP001
PROD082,"Dettol Antiseptic Liquid 250ml",CAT018,110.00,480,SUP029
PROD083,"All Out Ultra Refill",CAT018,75.00,480,SUP030
PROD084,"ITC Master Chef Frozen Peas 500g",CAT020,125.00,280,SUP003
PROD085,"Maggi Hot & Sweet Ketchup",CAT012,125.00,430,SUP006
PROD086,"Catch Turmeric Powder 200g",CAT023,65.00,680,SUP015
PROD087,"Saffola Masala Oats Classic Masala",CAT024,160.00,280,SUP040
PROD088,"MamyPoko Pants Diapers L-size 44",CAT021,750.00,130,SUP002
PROD089,"Whiskas Adult Cat Food Tuna 1.2kg",CAT022,550.00,90,SUP048
PROD090,"Fresh Green Chilli 100g",CAT002,10.00,650,SUP049
PROD091,"Amul Kool Kesar 200ml",CAT007,25.00,800,SUP004
PROD092,"Britannia Good Day Butter Cookies",CAT025,20.00,1000,SUP005
